instruction,input,output
How can you construct an array with the elements of two other arrays in JavaScript?,"arr1 = [1, 2, 3];
arr2 = [4, 5, 6];","let arr3 = arr1.concat(arr2); // arr3 = [1, 2, 3, 4, 5, 6]"
Write a JavaScript loop to print all the elements of an array.,"const arr = [5, 10, 15, 20, 25];","for(let i=0; i<arr.length; i++){
    console.log(arr[i]);
}"
How can you send an AJAX request in JavaScript?,,"With the use of XMLHttpRequest, an AJAX request can be sent in JavaScript. First, you create an instance of XMLHttpRequest and then open a connection to a URL. After that, you can make a request to the URL and send data with the send() function. For example:

let request = new XMLHttpRequest();
request.open('GET', 'http://example.com/data');
request.send();"
Explain how OOP works in JavaScript.,,"Object-Oriented Programming (OOP) in JavaScript is based on prototypes and classes. Prototypes are objects that act as templates for creating other objects, which can have its own methods and properties. Classes are special functions that create objects and can have attributes and methods of its own. Objects created from the same class share the same attributes and methods, but each object can have its own values. Classes and objects can be used to create programs that can be reused and extended."
Write a Javascript code snippet to print all even numbers between 0 and 10.,,"for(let i=0; i<=10; i+=2){
    console.log(i);
}"
How can you remove an element from an array in JavaScript?,"array = [3, 7, 8, 11];","You can use the Array.prototype.splice() method to remove an element from an array in JavaScript. This method takes two arguments, the index at which the element should be removed and the number of elements to remove. For example, to remove the element at index 1 (7):

array.splice(1, 1); // array = [3, 8, 11]"
Construct an HTML ready table from the given Python dictionary.,"data = { 'fruit': ['banana', 'apple', 'orange'],
          'vegetable': ['carrot', 'onion', 'cucumber']
        }","<table>
    <thead>
        <tr>
            <th>Fruit</th>
            <th>Vegetable</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>banana</td>
            <td>carrot</td>
        </tr>
        <tr>
            <td>apple</td>
            <td>onion</td>
        </tr>
        <tr>
            <td>orange</td>
            <td>cucumber</td>
        </tr>
    </tbody>
</table>"
Construct an array from the given list in Python.,"list = [ ""a"", ""b"", ""c"", ""d"" ]","array = [ ""a"", ""b"", ""c"", ""d"" ]"
Create a SELECT query in SQL that selects a row from the 'people' table where the age is equal to 24.,,"SELECT * 
FROM people 
WHERE age = 24"
Generate an integer array of size 1000 in Python with each element being a random integer between 0 ~ 250.,,"import random
array = [random.randint(0, 250) for _ in range(1000)]"
"Find the median of the following list of numbers in Python: [2, 5, 15, 22, 17, 29]",,median = 17
"Calculate the maximum of the following list of numbers in Python: [2, 15, 13, 8, 6]",,maximum = 15
Write a Python function that takes as input a set of numbers and returns the sum of the rectangular area covered by these numbers.,"numbers = [2, 4, 6]","def sum_rect_area(numbers):
    sum = 0
    for i in range(len(numbers)):
        sum += numbers[i] * numbers[(i+1) % len(numbers)]
    return sum"
Rearrange the given list in Python such that the greatest element is placed at the first position and the smallest element at the last.,"my_list = [4, 5, 8, 6, 9]","my_list = [9, 8, 6, 5, 4]"
Create a function in Python which will take a number as input and return an array containing the prime factors of the number.,,"def get_prime_factors(num): 
    # Initialize an empty list 
    prime_factors = [] 
  
    # Find the number of 2 that divide n 
    while num % 2 == 0: 
        prime_factors.append(2) 
        num //= 2
  
    # n must be odd at this point 
    # so a skip of 2 ( i = i + 2) can be used 
    for i in range(3, int(math.sqrt(num)) + 1, 2): 
        # While i divides n, append i and divide n 
        while num % i == 0: 
            prime_factors.append(i) 
            num //= i 
    # This condition is to handle the 
    # case when n is a prime number 
    # greater than 2 
    if num > 2: 
        prime_factors.append(num) 
    return prime_factors"
Write a function to append a new item to the given list in Python.,"my_list = ['a', 'b', 'c']","def append_item(my_list, item): 
    my_list.append(item) 
    return my_list"
Input two numbers from the user and find the greatest common divisor of the two numbers in Python.,,"def gcd(a,b):
    while(b):
        a,b=b,a%b

    return a"
Determine if a given string has all unique characters in Python.,,"def has_unique_characters(string): 
    # Convert string to list of characters 
    char_list = list(string) 
  
    # Construct a set to iterate over it 
    char_set = set() 
  
    # return False if any character is already present in the set otherwise True 
    for character in char_list: 
        if character in char_set: 
            return False
        else: 
            char_set.add(character) 
    return True"
Write a Python function to check whether a string contains all the letters of the alphabet or not.,,"def has_all_alphabets(string):
    # Convert string to list of characters 
    char_list = list(string) 

    # Construct a set of alphabets 
    all_alphabets = set(string.ascii_lowercase) 

    # Compare char_list and all_alphabets 
    # return False if any character is not present
    # in the set otherwise True 
    if all_alphabets.issubset(char_list):
        return True
    else:
        return False"
Find the maximum of three input numbers,"3, 4, 10","def find_max(x, y, z):
  max_value = max(x, y, z)
  return max_value"
"In Python, create a for loop to print out all the natural numbers in a range",From 0 to 10,"for i in range(0, 11):
 print(i)"
Create a python program that sums up all the numbers in a list,"[1, 2, 3, 4, 5]","def sum_list(lst):
 sum = 0
 for number in lst:
   sum += number
 return sum"
Edit the code to calculate the area of a triangle,"def triangle_area(base, height):
    return base/2","def triangle_area(base, height):
    return (base * height) / 2"
Design an algorithm in Python to check if one given string is an anagram of another,s1 = 'listen' s2 = 'silent',"def is_anagram(s1, s2):
    s1_list = list(s1)
    s2_list = list(s2)
    s1_list.sort()
    s2_list.sort()

    if len(s1_list) != len(s2_list):
        return False

    for i in range(len(s1_list)):
        if s1_list[i] != s2_list[i]:
            return False
    return True"
Write a JavaScript code to calculate whether a triangle is valid or not,"side1 = 5, side2 = 3, side3 = 2","function isTriangleValid(side1, side2, side3) {
  if (side1 + side2 <= side3 || side2 + side3 <= side1 || side3 + side1 <= side2) {
    return false;
  } else {
    return true;
  }
}"
Produce a SQL query to find the number of records with age greater than 18,"Table: users
Columns: name, age",SELECT COUNT(*) FROM users WHERE age > 18;
Design an algorithm in Python to determine if a number is prime,,"def is_prime(n):
   if n <= 1:
      return False
   for i in range(2, int(n**0.5) + 1):
      if n % i == 0: 
         return False
   return True"
Expand the code to implement bubble sort,"def bubble_sort(arr):
   n = len(arr)","def bubble_sort(arr):
   n = len(arr)
   for i in range(n):
      for j in range(0, n-i-1):
         if arr[j] > arr[j+1]:
            arr[j], arr[j+1] = arr[j+1], arr[j] 
   return arr"
Understand the code and create two more variables with the string objects 'navigation' and 'configuration' and assign proper class names to them.,"class Task:
    def __init__(self):
        self.display = 'display'
        self.body = 'body'","class Task:
    def __init__(self):
        self.display = 'display'
        self.body = 'body'
        self.navigation = 'Navigation'
        self.configuration = 'Configuration'"
Generate a random password of 8 characters including at least one special character.,,"import string
import random

def generate_password():
    password_chars = string.ascii_letters + string.digits + string.punctuation
    return ''.join(random.choice(password_chars) for i in range(8))

if __name__ == '__main__':
    print(generate_password())"
"Using the given list of elements, generate a new list containing the first element of each of the nested lists.","my_list = [[1,2,3], [4,5,6], [7,8,9]]","def first_element_list (my_list): 
    first_element_list = [] 
       
    for sub_list in my_list: 
        first_element_list.append(sub_list[0]) 
   
    return first_element_list

if __name__ == '__main__':
    print(first_element_list(my_list))"
Write a script to convert a given number from base 10 (decimal) to base 16 (hexadecimal).,num = 200,"# Decimal to hexadecimal
def dec_to_hex(num):
    hex_val = [0,1,2,3,4,5,6,7,8,9,""A"",""B"",""C"",""D"",""E"",""F""]
    remainder = 0
    hex_str = """"
    while(num != 0):
        remainder = num % 16
        num = num // 16
        hex_str = str(hex_val[remainder]) + hex_str
    return hex_str

if __name__ == '__main__':
    print(dec_to_hex(num))"
"Create three classes named Car, Truck, and Motorcycle.",,"class Car:
    def __init__(self):
        self.type = 'car'

class Truck:
    def __init__(self):
        self.type = 'truck'

class Motorcycle:
    def __init__(self):
        self.type = 'motorcycle'"
"Using the given JSON object, edit the object such that no object with the key 'type' as 'Admin' is present in the list.","[
  {
    ""id"": 1,
    ""name"": ""John"",
    ""type"": ""Admin""
  },
  {
    ""id"": 2,
    ""name"": ""Bob"",
    ""type"": ""User""
  },
  {
    ""id"": 3,
    ""name"": ""Alice"",
    ""type"": ""Admin""
  }
]","def remove_admin(data):
    results = []
    for entry in data:
        if entry['type'] != 'Admin':
            results.append(entry)
    return results

if __name__ == '__main__':
    print(remove_admin(data))"
Convert the given list into a dictionary of key-value pairs where the key is the index of the element and the value is the element itself.,"my_list = ['apple','banana','orange','grape']","def list_to_dict(my_list):
    my_dict = {}
    for index, item in enumerate(my_list):
        my_dict[index] = item
    return my_dict

if __name__ == '__main__':
    print(list_to_dict(my_list))"
Create a new list which contains the elements from the given list where the element is divisible by 3.,"my_list = [2,3,4,5,6,7,8,9]","def divisible_by_3(my_list):
    results = []
    for num in my_list:
        if num % 3 == 0:
            results.append(num)
    return results

if __name__ == '__main__':
    print(divisible_by_3(my_list))"
Invert the given dictionary by swapping the keys and values.,"my_dict = {'a':1, 'b':2, 'c':3}","def invert_dict(my_dict):
    inverted_dict = {}
    for key, value in my_dict.items():
        inverted_dict[value] = key
    return inverted_dict

if __name__ == '__main__':
    print(invert_dict(my_dict))"
Use the given dictionary and determine what type of data structure is stored in it.,"my_dict = {'fruit': 'apple', 'veggie': 'broccoli'}","The given dictionary is a mapping data structure, since it stores a collection of key-value pairs."
"Given a string of raw HTML code, how can we select all the <p> tags and their contents?",,"soup = BeautifulSoup(html_string, 'html.parser')
p_tags = soup.find_all('p')"
Write an SQL query to select all rows with an 'employee_id' of 10.,,SELECT * FROM employees WHERE employee_id = 10;
Rewrite the following SQL query using Join.,SELECT * FROM products WHERE store_id=100,"SELECT * FROM stores 
INNER JOIN products 
ON stores.id = products.store_id 
WHERE stores.id=100;"
Write a Python code snippet to print all the items from a list.,,"for item in my_list:
    print(item)"
How can you delete a value from a dictionary in Python?,,"You can delete a value from a dictionary in Python using the 'del' statement. For example, to delete the value at the key 'x', you can use the following command:

del my_dict['x']"
Write an SQL query to update a table to set the value of 'salary' column to 1000.,,"UPDATE table_name 
SET salary = 1000;"
Create a JavaScript code snippet for a for loop.,,"for(let i=0; i < 10; i++){
    //Do something.
}"
"Given an HTML tag, suggest an appropriate name for the corresponding CSS class.",<h2>,One possible name for a corresponding class for this <h2> tag would be 'h2-class'.
Evaluate the following C++ code to find the output.,"int main() 
{ 
    int x = 10; 
    int y = 20; 
    int z = x + y; 
    cout << z << endl; 

    return 0; 
}","The output of the given C++ code will be ""30""."
Compose a css code to set the text color of all <h1> to red.,,"h1 {
    color: red;
}"
"Split the following string into words: ""Coding is Fun!""",Coding is Fun!,"['Coding', 'is', 'Fun!']"
Reverse all the words inside a sentence.,I love coding,coding love I
"Count the number of integers in the following array: [2, 4, 3, 6, 7].",,5
Find the biggest element in a given array of integers.,"[3, 1, 4, 6, 7]",7
Construct a JavaScript code to split a string into substrings.,,"function splitString(string,length) {
    let substrings = [];
    let startIndex = 0;
    while (startIndex < string.length) {
        substrings.push(string.substr(startIndex,length));
        startIndex += length;
    }
    return substrings; 
}"
"Construct a JavaScript code to validate a password with the following criteria: At least one uppercase, one lowercase, one number, one symbol and the length should be between 6 and 12.",,"function isValidPassword(password){
    if(/^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)(?=.*[@$!%*?&])[A-Za-z\d@$!%*?&]{6,12}$/.test(password)) {
        return true;
    }
    else {
        return false;
    }
}"
Construct a function in Java to check if an input string is a palindrome.,,"public static boolean isPalindrome(String myString){
    String reversed = new StringBuilder(myString).reverse().toString();
    if (myString.equals(reversed)){
        return true;
    }
    else{
        return false;
    }
}"
"Compose the SQL statement to retrieve data from the table ""user_info"" where the first name is “John”.",,SELECT * FROM user_info WHERE first_name = 'John';
Modify the following PHP code to print the array stored in $data.,"<?php
$data = [ 'John', 'James', 'Alex' ];
?>","<?php
$data = [ 'John', 'James', 'Alex' ];

foreach ( $data as $value ) {
    echo $value . ' ';
}
?>"
Write a Pug code to display a simple text in the center of the page.,,"doctype html
html
 head
  title Simple Text
 body
  p#main.center This is a simple text"
Design a Java program that accepts a string and returns the longest word in the string.,A long sentence with multiple words.,"import java.util.*;

public class LongestWordFinder 
{
  public static void main(String[] args) 
  {
    String str = ""A long sentence with multiple words."";
    
    // Create an array to store the words from the sentence
    List<String> wordList = Arrays.asList(str.split("" ""));
    
    // Create a variable for keeping track of the longest word
    String longestWord = """";
    
    // Iterate over the words and find the longest word
    for (String word : wordList) {
        if (word.length() > longestWord.length()) {
            longestWord = word;
        }
    }
    
    System.out.println(longestWord);
  }
}"
Write a Node.js code to recursively print out the double of a given number.,10,"const double = n => {
    if (n === 0) {
        return 0;
    }
    else {
        return 2*n + double(n-1);
    }
};

console.log(double(10));"
Generate a C++ code to print out the even numbers from 0 to 10.,,"#include <iostream>
using namespace std;

int main()
{
    for (int i = 0; i <= 10; i+=2)
    {
        cout << i << "" "";
    }
    return 0;
}"
Compose the Ruby code to add two given integers.,Two integers x and y,"def add_numbers(x, y)
    x + y
end
sum = add_numbers(x, y)
puts sum"
"Generate a MySQL query to list all the information from the table ""user_list"".",,SELECT * FROM user_list;
"Edit the following SASS code to change the color of ""primary-text"".","$primary-color: #00ff00;

.primary-text {
  color: $primary-color;
}","$primary-color: #333333;

.primary-text {
  color: $primary-color;
}"
"Design a Rust program that prints out the following sentence: ""Hello from Rust!"".",,"fn main() {
    println!(""Hello from Rust!"");
}"
Create an array of ten random numbers using Python.,,"import random

random_numbers = []
for _ in range(10):
    random_numbers.append(random.randint(0, 100))

print(random_numbers)"
Add a tag to an HTML heading.,<h1>Welcome to my website</h1>,<h1>Welcome to my website <span>tag</span></h1>
Find the most frequent words in the following sentence using Python.,The quick brown fox jumps over the lazy dog,"import collections

words = 'The quick brown fox jumps over the lazy dog'.split()
word_count = collections.Counter(words)
most_common_word = word_count.most_common()

print(""The most frequent words are: "" + str(most_common_word))"
Create a class called “Person” in Python that takes in name and age as parameters.,,"class Person: 
    def __init__(self, name, age): 
        self.name = name 
        self.age = age
  
    def show_details(self): 
        print(""Name: {}"".format(self.name)) 
        print(""Age: {}"".format(self.age))"
Classify the following fruits as either a tropical or temperate fruit.,"apple, orange, pineapple","apple: temperate
orange: temperate
pineapple: tropical"
"Given a list of numbers, write a function to find the sum of all the numbers in Python.","my_list = [1, 3, 5, 7, 9]","def sum_of_nums(my_list):
    total = 0
    for x in my_list:
        total += x
    return total

print(""The sum of my_list is: "" + str(sum_of_nums(my_list)))"
Determine if the given number is even or odd.,number = 10,"if number % 2 == 0:
    print(""The number is even"")
else:
    print(""The number is odd"")"
Create an array list of objects containing name and age for two people in Python.,,"my_list = [
    {'name': 'John', 'age': 20},
    {'name': 'Sarah', 'age': 22}
]"
"Write a SQL statement to select all rows from the table ""People"" where the ""country"" field is ""USA"".",,"SELECT * FROM People WHERE country = ""USA"";"
Find the number of items in a list using React.,"my_list = [1, 2, 3, 4]","let numItems = my_list.length;
console.log(numItems);"
Write an API endpoint in Python that responds to a “POST” request with an array of numbers.,,"@app.route(""/post"", methods=[""POST""])
def post_endpoint():
    request_data = request.get_json()
    numbers = request_data[""numbers""]
    response_data = {
        ""status"": ""success"",
        ""data"": numbers
    }
    return jsonify(response_data)"
Create an if statement to determine if the given number is a multiple of 5.,number = 15,"if number % 5 == 0:
    print(""The number is a multiple of 5"")
else:
    print(""The number is not a multiple of 5"")"
Write a for loop to print the numbers 10 to 20 in Python.,,"for i in range(10, 21):
    print(i)"
Sort the following list of objects alphabetically by name.,"my_list = [
    {'name': 'John', 'age': 20},
    {'name': 'Sarah', 'age': 22},
    {'name': 'Tom', 'age': 25}
]","my_list.sort(key=lambda x: x['name'])

print(my_list)"
Create a Java program that calculates the average of a list of numbers given as input.,"[13, 14, 29, 15, 18]","public class AverageCalculator {
 
 public static void main(String[] args) {
 
  int[] list = {13, 14, 29, 15, 18};
 
  int sum = 0;
  int length = list.length;
 
  for (int i = 0; i < length; i++) {
   sum += list[i];
  }
 
  double average = (double) sum / length;
 
  System.out.println(average);
 }
}"
Create a JavaScript function that checks if a given number is even or odd.,17,"function isEvenOrOdd(number){
	if(number % 2 == 0){
		return ""Even""
	} else {
		return ""Odd""
	}
}

console.log(isEvenOrOdd(17)) //Odd"
Modify the program to print the numbers in reverse order?,"Sample list: [10, 11, 12, 13]","// Function to print the list of numbers in reverse order
function reversePrint(list) {
  let reversedArr = list.reverse();
  for (let i = 0; i < reversedArr.length; i++) {
    console.log(reversedArr[i]);
  }
}

// Print the list of numbers in reverse order.
reversePrint([10, 11, 12, 13]);

// Output: 
// 13
// 12
// 11
// 10"
Create an algorithm in Python that sorts an array of numbers in ascending order.,"[4, 7, 2, 8]","def selectionSort(arr): 
	# Traverse through all array elements 
	for i in range(len(arr)): 
		# Find the minimum element in remaining 
		# unsorted array 
		min_idx = i 
		for j in range(i+1, len(arr)): 
			if arr[min_idx] > arr[j]: 
				min_idx = j 
		
		# Swap the found minimum element with 
		# the first element		 
		arr[i], arr[min_idx] = arr[min_idx], arr[i] 

# Driver code to test above 
arr = [4, 7, 2, 8] 
selectionSort(arr) 

# Print sorted array
print('Sorted array is: ', end = '')
for i in range(len(arr)): 
	print(arr[i], end = ' ') 

# Output: 
# Sorted array is: 2 4 7 8"
Generate a code in Java to calculate the factorial of a number given as input.,4,"public class Factorial {

    public static void main(String[] args) {

        int number = 4;
        int factorial = calculateFactorial(number);

        System.out.println(""Factorial of "" + number + "" is: "" + factorial);
    }

    public static int calculateFactorial(int number) {
        int factorial = 1;
        for (int i = 2; i <= number; i++)
            factorial *= i;
        return factorial;
    }

}"
How would you modify the following code to silence compile time warnings?,int i = 100;,int i = 100; //no warning
Modify the following code so that it prints the given array in reverse order.,"int[] array = {1, 2, 3, 4, 5}","// Function to print the array in reverse order
void reverseArray (int[] array) 
{ 
    for (int i = array.length - 1; i >= 0; i--) {
        System.out.print(array[i]+"" ""); 
    }
} 

// Output
int[] array = {1, 2, 3, 4, 5};
reverseArray(array);

// Output:
// 5 4 3 2 1"
Create a Python program to calculate the absolute value of a number given as input.,-5,"def Absolute(number):
	if number < 0:
		return -number
	else:
		return number

# Print the absolute value
print(Absolute(-5))

# Output:
# 5"
Create a function in JavaScript that takes in two numbers and determines which one is greater.,2 and 5,"// Function to compare two numbers
const compare = ( num1, num2 ) => {
	if (num1 > num2) {
		return 'Number 1 is greater than Number 2';
	} else if (num2 > num1) {
		return 'Number 2 is greater than Number 1';
	} else {
		return 'Numbers are equal';
	}
}

// Output
console.log(compare(2, 5))

// Output:
// Number 2 is greater than Number 1"
Write a C++ program for sorting a given array.,"arr = [2, 6, 3, 4, 7, 1, 0]","#include <iostream>
using namespace std;

void sortArray(int arr[], int n){
    int temp;
    for (int i=0; i < n-1; i++){
        for (int j=i+1; j < n; j++){
            if (arr[j] < arr[i]){
                temp = arr[i];
                arr[i] = arr[j];
                arr[j] = temp;
            }
        }
    }
}

int main(){
    int arr[] = {2, 6, 3, 4, 7, 1, 0};
    int n = sizeof(arr)/sizeof(arr[0]);
    
    sortArray(arr, n);
    
    for (int i=0; i < n; i++){
        cout << arr[i] << "" "";
    }
    cout << endl;
    
    return 0;
}"
"Construct an SQL query to select the last 10 entries in a table named ""Fruits"".",,SELECT * FROM Fruits ORDER BY ID DESC LIMIT 10;
Create a CSS class 'blue-box' with background-color as blue.,,".blue-box {
    background-color: blue;
}"
Create an array of size 50 with random integers within the range of 1 to 100.,,"import random

arr = []
for i in range(50):
    arr.append(random.randint(1, 100))

print(arr)"
"Construct an SQL query to join two tables named ""Employees"" and ""Departments"".",,"SELECT e.name, d.name
FROM Employees e
INNER JOIN Departments d ON e.dep_id = d.id;"
Write a C# program to format a text with a given string of characters.,"text = ""Hello World!""
characters = ""!#""","string text = ""Hello World!"";
string characters = ""!#"";

string formattedText = text.Replace("" "", characters);

Console.WriteLine(formattedText);"
Create a Perl hash mapping the countries to their respective capital cities.,,"%capitals = (
    'India'      => 'New Delhi',
    'Japan'      => 'Tokyo',
    'China'      => 'Beijing',
    'Australia'  => 'Canberra',
    'USA'        => 'Washington DC',
);"
Write a Ruby program to create a new string which contains the first and last letters of a given string.,"name = ""Hello World!""","name = ""Hello World!""

res = name.slice(0,1) + name.slice(-1)

puts res"
"Using Python and the pandas library, write a code to print the mean of all the columns in a given dataframe.","Dataframe: 

index  accNum   name       age  gender 
0      100234   Alex        28   Male
1      102245   Bob         20   Male
2      103654   Elizabeth   32   Female","import pandas as pd
  
# Create the dataframe 
df = pd.DataFrame({'accNum':[100234,102245, 103654], 
                   'name':['Alex', 'Bob', 'Elizabeth'], 
                   'age':[28, 20, 32], 
                   'gender': ['Male', 'Male', 'Female']})

# Calculate and print the mean of all the columns 
print(df.mean())

# Output:
accNum    102890.0
age          26.0
dtype: float64"
Generate 5 samples from a Gaussian distribution with a mean of 3 and standard deviation of 5.,,"3.932555212456268, 1.8902375500051712, 8.3930350533487785, -2.3711878551037355, 7.1672674964959154"
Convert an ASCII value of 65 to its corresponding character.,,'A'
"Create a Flask app with a homepage and a route for a ""hello world"" response.",,"from flask import Flask
app = Flask(__name__)

@app.route('/')
def home():
    return ""Hello World!""

if __name__ == '__main__':
    app.run()"
"Using HTML and CSS, create an interactive button.",,"<html>
<head>
<style>
.button {
  background-color: #4CAF50; /* Green */
  border: none;
  color: white;
  padding: 15px 32px;
  text-align: center;
  text-decoration: none;
  display: inline-block;
  font-size: 16px;
  margin: 4px 2px;
  cursor: pointer;
}
</style>
</head>
<body>

<h1>Interactive Button</h1>

<button class=""button"">Click Me!</button>

</body>
</html>"
Explain the concept of inheritance in programming.,,"Inheritance is a programming concept which allows a class or object to ""inherit"" attributes from another class or object. It is one of several key concepts in object-oriented programming (OOP) and serves to allow a class to acquire properties which are defined in another class. This relationship between two classes is often referred to as an ""is-a"" relationship or ""parent-child"" relationship because the child class ""is-a"" type of the parent class. By using the concept of inheritance, code can be reused or specialized, making it easier to develop and maintain code."
Give an example of operator overloading in C++.,,"Operator overloading in C++ allows programmer to define the way operators behave when used with objects of class types. For example, the '+' operator can be overloaded to perform arithmetic addition on objects of type 'Vector'. The following code illustrates this:

class Vector {
    private:
        int x;
        int y;
    public:
        Vector(int x_, int y_): x(x_), y(y_) {}

        Vector operator+(const Vector& v) const {
            return Vector(x + v.x, y + v.y);
        }
};

int main()
{
    Vector v1(1,2);
    Vector v2(2,3);

    Vector v3 = v1 + v2;

    cout << v3.x << "","" << v3.y << endl;
    return 0;
}

// Output: 3,5"
Explain the purpose of web APIs.,,"Web APIs are a set of protocols and standards that allow different applications to communicate over the internet. These APIs allow developers to utilize the functionality of remote web applications without having to write their own code. APIs enable applications to access data and services from other applications, enabling the development of complex services and applications with minimal effort. Web APIs facilitate the development of modern web-based applications by providing the basis for an interconnected ‘web of services’ in which developers can more easily link and share data and information."
Write Java code to implement the quicksort algorithm.,,"public class QuickSort { 
  
    // parameters: 
    // arr = array of integers to be sorted 
    // low = start index 
    // high = end index 
    private static void quickSort(int[] arr, int low, int high) { 
        if (arr == null || arr.length == 0) 
            return; 
  
        if (low >= high) 
            return; 
  
        // pick the pivot 
        int middle = low + (high - low) / 2; 
        int pivot = arr[middle]; 
  
        // make left < pivot and right > pivot 
        int i = low, j = high; 
        while (i <= j) { 
            while (arr[i] < pivot) { 
                i++; 
            } 
  
            while (arr[j] > pivot) { 
                j--; 
            } 
  
            if (i <= j) { 
                int temp = arr[i]; 
                arr[i] = arr[j]; 
                arr[j] = temp; 
                i++; 
                j--; 
            } 
        } 
  
        // recursively sort two sub parts 
        if (low < j) 
            quickSort(arr, low, j); 
  
        if (high > i) 
            quickSort(arr, i, high); 
    } 
  
    public static void main(String[] args) { 
        int[] arr = {2, 4, 3, 5, 1}; 
        quickSort(arr, 0, arr.length - 1); 
          
        System.out.println(""Sorted array: ""); 
        for (int i = 0; i < arr.length; i++) { 
            System.out.print(arr[i] + "" ""); 
        } 
    } 
}"
Write a bash script that prints the current working directory of the machine.,,"#!/bin/bash

# This script prints the current working directory
echo ""My current working directory is: ""
pwd"
Explain what a tensor is in machine learning.,,"A tensor is a multi-dimensional array used in machine learning and other mathematical operations. Tensors have various ranks, and contain multidimensional data such as vectors and matrices, as well as scalar values. Tensors can represent any type of machine learning data, including images, data points, labels, and other features. Tensors are used in many machine learning operations, including neural network computations, convolutional layers, and matrix operations. Tensors can also be used to implement machine learning algorithms, including deep learning, reinforcement learning, and natural language processing."
Calculate and print the factorial of a number n.,int n = 5,"public class Factorial {

    public static void main(String[] args) {
        int n = 5; // given number
        System.out.println(""Factorial of "" + n + "" is "" + factorial(n));
    }

    // method for calculating factorial of n
    public static int factorial (int n){ 
        if (n == 0) 
            return 1; 
        return n*factorial(n-1);    
    }
}

// Output: Factorial of 5 is 120"
Write an algorithm to reverse a string without using any library functions.,"String s = ""Hello World""","public class StringReverse {

    public static void main(String[] args) {
        String s = ""Hello World"";
        System.out.println(""Reversed String: "" + reverseString(s));
    }

    // method to reverse the string without using any library function
    public static String reverseString(String s){
        StringBuilder rev = new StringBuilder();
        for(int i = s.length() - 1; i >= 0; i--){
            rev.append(s.charAt(i));
        }
        return rev.toString();
    }
}

// Output: Reversed String: dlroW olleH"
How can you split a string with multiple delimiters in python?,,"You can split a string with multiple delimiters in python using the re.split() function. This function takes a regular expression as an argument, which can include multiple delimiters. For example, the following will split a string at any whitespace characters: 

import re

string = 'This is a string with multiple delimiters'
print(re.split('\s+', string))"
Identify the error in this code,"def product(a, b):
    ‘’’ Returns product of a and b’’’
    return a * b","The error in the code is that the quotes in the docstring are not pairs of the same type. Instead of using ‘’’ and ”””, the code should use triple single quotes ''' or triple double quotes """""" for the docstring. It should also have a space between the triple quotes and the text in the docstring for consistency. The code should be changed to:

def product(a, b):
    """""" Returns product of a and b """"""
    return a * b"
Reorder the elements of the following array,"[2, 4, 6, 8, 10]","The elements of the array can be reordered by using the sort() method. The following code will reorder the elements in ascending order:

my_list = [2, 4, 6, 8, 10]
my_list.sort()
print(my_list)

# The output of this code will be:
# [2, 4, 6, 8, 10]"
Develop a python program to list out the unique elements of a tuple.,"my_tuple = (1, 2, 3, 2, 4, 5, 6, 2)","# Program to find out unique elements of a tuple

def unique_elements(my_tuple):
    unique_list = []
    for element in my_tuple:
        if element not in unique_list:
            unique_list.append(element)
    return unique_list

# Test the function
my_tuple = (1, 2, 3, 2, 4, 5, 6, 2)
unique_elements = unique_elements(my_tuple)
print(unique_elements)

# The output of this program will be
# [1, 2, 3, 4, 5, 6]"
Explain how regular expressions can be used to identify and replace text in Python?,,"Regular expressions can be used to identify and replace text in Python by using the re module. This module provides methods for searching for and matching patterns in text, discovering patterns in text, and replacing parts of a string matching a pattern. The re.sub() method can be used to search for a specified pattern, and then replace the matching pattern with a new string. For example, the following code will replace all occurences of 'a' with 'b':

import re
string = 'This is a string that contains a few letters a.'
re.sub('a', 'b', string)

# The output of this code will be:
# This is b string that contains b few letters b."
Write a code to add an item to the end of a list,"my_list = [2, 3, 4, 5]","def add_to_list(my_list, item):
    """"""This function adds an item to the end of a list""""""
    my_list.append(item)
    return my_list

my_list = [2, 3, 4, 5]
add_to_list(my_list, 6)

# The output of this code will be:
# [2, 3, 4, 5, 6]"
Explain how to check if a string is a palindrome,,"A palindrome is a string that reads the same forward and backward. To check if a string is a palindrome, you can reverse the string and compare it to the original string. If the reversed string matches the original string, then the string is a palindrome. The following code will check if a string is a palindrome:

def is_palindrome(my_string):
    """"""This function returns True if a string is a palindrome""""""
    # Reverse the string
    my_string_rev = my_string[::-1]
    
    # Compare the original and reversed strings
    if my_string == my_string_rev:
        return True
    else:
        return False

# Test the function
is_palindrome('abba')

# The output of this code will be:
# True"
Explain how to parse a date string in Python,,"In Python, you can parse a date string using the datetime module. This module contains functions and classes to parse, format, and manipulate dates and times in both simple and complex ways. The datetime.strptime() function can be used to convert a date string to a datetime.datetime object. This function takes two arguments: a string containing the date string, and a formatting string indicating the format of the date string. For example, the following code will parse the date in the string ""25/12/2019"":

import datetime
date_str = ""25/12/2019""
date_object = datetime.datetime.strptime(date_str, '%d/%m/%Y')

# The output of this code will be a datetime.datetime object
# datetime.datetime(2019, 12, 25, 0, 0)"
